 Time  pos_drone.x  pos_drone.y  pos_drone.z  vel_drone.x  vel_drone.y  vel_drone.z  yaw_laser 
0.000244288  0  0  0  0  0  0  0  
0.0200863  0  0  0  0  0  0  0  
0.0400871  0  0  0  0  0  0  0  
0.0600804  0  0  0  0  0  0  0  
0.0801171  0  0  0  0  0  0  0  
0.100086  0  0  0  0  0  0  0  
0.120098  0  0  0  0  0  0  0  
0.140162  0  0  0  0  0  0  0  
0.160115  0  0  0  0  0  0  0  
0.180134  0  0  0  0  0  0  0  
0.200133  0  0  0  0  0  0  0  
0.220104  0  0  0  0  0  0  0  
0.240118  0  0  0  0  0  0  0  
0.260138  0  0  0  0  0  0  0  
0.280131  0  0  0  0  0  0  0  
0.300121  0  0  0  0  0  0  0  
0.320126  0  0  0  0  0  0  0  
0.340126  0  0  0  0  0  0  0  
0.360138  0  0  0  0  0  0  0  
0.380108  0  0  0  0  0  0  0  
0.400127  0  0  0  0  0  0  0  
0.420099  0  0  0  0  0  0  0  
0.44014  0  0  0  0  0  0  0  
0.460125  0  0  0  0  0  0  0  
0.480117  0  0  0  0  0  0  0  
0.50026  0  0  0  0  0  0  0  
0.520191  0  0  0  0  0  0  0  
0.540151  0  0  0  0  0  0  0  
0.560105  0  0  0  0  0  0  0  
0.580099  0  0  0  0  0  0  0  
0.600106  0  0  0  0  0  0  0  
0.620138  0  0  0  0  0  0  0  
0.640203  0  0  0  0  0  0  0  
0.660106  0  0  0  0  0  0  0  
0.680096  0  0  0  0  0  0  0  
0.700118  0  0  0  0  0  0  0  
0.720117  0  0  0  0  0  0  0  
0.740118  0  0  0  0  0  0  0  
0.76011  0  0  0  0  0  0  0  
0.780179  0  0  0  0  0  0  0  
0.800102  0  0  0  0  0  0  0  
0.820108  0  0  0  0  0  0  0  
0.840122  0  0  0  0  0  0  0  
0.860116  0  0  0  0  0  0  0  
0.880104  0  0  0  0  0  0  0  
0.900109  0  0  0  0  0  0  0  
0.920097  0  0  0  0  0  0  0  
0.940126  0  0  0  0  0  0  0  
0.96011  0  0  0  0  0  0  0  
0.980109  0  0  0  0  0  0  0  
1.0002  0  0  0  0  0  0  0  
1.02011  0  0  0  0  0  0  0  
1.04011  0  0  0  0  0  0  0  
1.06012  0  0  0  0  0  0  0  
1.0801  0  0  0  0  0  0  0  
1.1001  0  0  0  0  0  0  0  
1.1201  0  0  0  0  0  0  0  
1.1401  0  0  0  0  0  0  0  
1.16012  0  0  0  0  0  0  0  
1.18009  0  0  0  0  0  0  0  
1.20012  0  0  0  0  0  0  0  
1.2201  0  0  0  0  0  0  0  
1.24011  0  0  0  0  0  0  0  
1.26009  0  0  0  0  0  0  0  
1.28011  0  0  0  0  0  0  0  
1.30013  0  0  0  0  0  0  0  
1.32069  0  0  0  0  0  0  0  
1.34009  0  0  0  0  0  0  0  
1.36011  0  0  0  0  0  0  0  
1.38012  0  0  0  0  0  0  0  
1.40015  0  0  0  0  0  0  0  
1.42012  0  0  0  0  0  0  0  
1.44011  0  0  0  0  0  0  0  
1.46011  0  0  0  0  0  0  0  
1.48014  0  0  0  0  0  0  0  
1.50016  0  0  0  0  0  0  0  
1.52014  0  0  0  0  0  0  0  
1.54011  0  0  0  0  0  0  0  
1.56014  0  0  0  0  0  0  0  
1.58009  0  0  0  0  0  0  0  
1.60009  0  0  0  0  0  0  0  
1.62011  0  0  0  0  0  0  0  
1.64013  0  0  0  0  0  0  0  
1.6601  0  0  0  0  0  0  0  
1.6801  0  0  0  0  0  0  0  
1.70008  0  0  0  0  0  0  0  
1.72016  0  0  0  0  0  0  0  
1.74009  0  0  0  0  0  0  0  
1.7601  0  0  0  0  0  0  0  
1.78011  0  0  0  0  0  0  0  
1.80011  0  0  0  0  0  0  0  
1.82011  0  0  0  0  0  0  0  
1.84011  0  0  0  0  0  0  0  
1.86012  0  0  0  0  0  0  0  
1.88013  0  0  0  0  0  0  0  
1.9002  0  0  0  0  0  0  0  
1.92013  0  0  0  0  0  0  0  
1.9401  0  0  0  0  0  0  0  
1.9601  0  0  0  0  0  0  0  
1.98012  0  0  0  0  0  0  0  
2.00011  0  0  0  0  0  0  0  
2.02013  0  0  0  0  0  0  0  
2.0401  0  0  0  0  0  0  0  
2.06011  0  0  0  0  0  0  0  
2.08014  0  0  0  0  0  0  0  
2.1001  0  0  0  0  0  0  0  
2.12009  0  0  0  0  0  0  0  
2.14011  0  0  0  0  0  0  0  
2.16012  0  0  0  0  0  0  0  
2.18011  0  0  0  0  0  0  0  
2.20016  0  0  0  0  0  0  0  
2.22009  0  0  0  0  0  0  0  
2.2401  0  0  0  0  0  0  0  
2.26011  0  0  0  0  0  0  0  
2.28009  0  0  0  0  0  0  0  
2.30011  0  0  0  0  0  0  0  
2.32008  0  0  0  0  0  0  0  
2.34009  0  0  0  0  0  0  0  
2.3601  0  0  0  0  0  0  0  
2.38011  0  0  0  0  0  0  0  
2.4001  0  0  0  0  0  0  0  
2.42011  0  0  0  0  0  0  0  
2.4401  0  0  0  0  0  0  0  
2.46012  0  0  0  0  0  0  0  
2.4801  0  0  0  0  0  0  0  
2.50012  0  0  0  0  0  0  0  
2.52013  0  0  0  0  0  0  0  
2.54011  0  0  0  0  0  0  0  
2.56013  0  0  0  0  0  0  0  
2.58012  0  0  0  0  0  0  0  
2.60011  0  0  0  0  0  0  0  
2.62012  0  0  0  0  0  0  0  
2.64013  0  0  0  0  0  0  0  
2.66009  0  0  0  0  0  0  0  
2.68012  0  0  0  0  0  0  0  
2.70011  0  0  0  0  0  0  0  
2.72013  0  0  0  0  0  0  0  
2.74012  0  0  0  0  0  0  0  
2.7601  0  0  0  0  0  0  0  
2.78014  0  0  0  0  0  0  0  
2.80014  0  0  0  0  0  0  0  
2.82009  0  0  0  0  0  0  0  
2.8401  0  0  0  0  0  0  0  
2.86012  0  0  0  0  0  0  0  
2.88012  0  0  0  0  0  0  0  
2.90011  0  0  0  0  0  0  0  
2.92009  0  0  0  0  0  0  0  
2.94015  0  0  0  0  0  0  0  
2.96009  0  0  0  0  0  0  0  
2.98011  0  0  0  0  0  0  0  
3.00012  0  0  0  0  0  0  0  
3.0201  0  0  0  0  0  0  0  
3.04015  0  0  0  0  0  0  0  
3.0601  0  0  0  0  0  0  0  
3.08012  0  0  0  0  0  0  0  
3.10015  0  0  0  0  0  0  0  
3.12014  0  0  0  0  0  0  0  
3.14013  0  0  0  0  0  0  0  
3.16011  0  0  0  0  0  0  0  
3.18017  0  0  0  0  0  0  0  
3.20015  0  0  0  0  0  0  0  
3.22012  0  0  0  0  0  0  0  
3.24011  0  0  0  0  0  0  0  
3.26012  0  0  0  0  0  0  0  
3.28013  0  0  0  0  0  0  0  
3.30011  0  0  0  0  0  0  0  
3.32011  0  0  0  0  0  0  0  
3.3401  0  0  0  0  0  0  0  
3.36012  0  0  0  0  0  0  0  
3.3801  0  0  0  0  0  0  0  
3.40019  0  0  0  0  0  0  0  
3.42012  0  0  0  0  0  0  0  
3.44012  0  0  0  0  0  0  0  
3.46011  0  0  0  0  0  0  0  
3.48009  0  0  0  0  0  0  0  
3.50013  0  0  0  0  0  0  0  
3.5201  0  0  0  0  0  0  0  
3.5401  0  0  0  0  0  0  0  
3.5603  0  0  0  0  0  0  0  
3.58011  0  0  0  0  0  0  0  
3.60013  0  0  0  0  0  0  0  
3.6201  0  0  0  0  0  0  0  
3.64009  0  0  0  0  0  0  0  
3.6601  0  0  0  0  0  0  0  
3.6801  0  0  0  0  0  0  0  
3.70011  0  0  0  0  0  0  0  
3.72011  0  0  0  0  0  0  0  
3.7401  0  0  0  0  0  0  0  
3.76009  0  0  0  0  0  0  0  
3.78011  0  0  0  0  0  0  0  
3.80017  0  0  0  0  0  0  0  
3.8201  0  0  0  0  0  0  0  
3.8401  0  0  0  0  0  0  0  
3.86012  0  0  0  0  0  0  0  
3.88009  0  0  0  0  0  0  0  
3.90011  0  0  0  0  0  0  0  
3.9201  0  0  0  0  0  0  0  
3.94014  0  0  0  0  0  0  0  
3.96011  0  0  0  0  0  0  0  
3.98012  0  0  0  0  0  0  0  
4.00009  0  0  0  0  0  0  0  
4.02011  0  0  0  0  0  0  0  
4.0401  0  0  0  0  0  0  0  
4.0601  0  0  0  0  0  0  0  
4.08012  0  0  0  0  0  0  0  
4.10011  0  0  0  0  0  0  0  
4.12013  0  0  0  0  0  0  0  
4.14011  0  0  0  0  0  0  0  
4.16013  0  0  0  0  0  0  0  
4.1801  0  0  0  0  0  0  0  
4.20012  0  0  0  0  0  0  0  
4.22012  0  0  0  0  0  0  0  
4.24011  0  0  0  0  0  0  0  
4.26021  0  0  0  0  0  0  0  
4.28013  0  0  0  0  0  0  0  
4.30011  0  0  0  0  0  0  0  
4.32015  0  0  0  0  0  0  0  
4.34012  0  0  0  0  0  0  0  
4.36012  0  0  0  0  0  0  0  
4.38009  0  0  0  0  0  0  0  
4.40015  0  0  0  0  0  0  0  
4.42025  0  0  0  0  0  0  0  
4.44013  0  0  0  0  0  0  0  
4.46013  0  0  0  0  0  0  0  
4.48011  0  0  0  0  0  0  0  
4.50012  0  0  0  0  0  0  0  
4.52011  0  0  0  0  0  0  0  
4.54016  0  0  0  0  0  0  0  
4.56023  0  0  0  0  0  0  0  
4.5801  0  0  0  0  0  0  0  
4.60011  0  0  0  0  0  0  0  
4.62012  0  0  0  0  0  0  0  
4.64013  0  0  0  0  0  0  0  
4.6601  0  0  0  0  0  0  0  
4.68015  0  0  0  0  0  0  0  
4.70015  0  0  0  0  0  0  0  
4.7201  0  0  0  0  0  0  0  
4.7401  0  0  0  0  0  0  0  
4.76009  0  0  0  0  0  0  0  
4.78014  0  0  0  0  0  0  0  
4.80009  0  0  0  0  0  0  0  
4.8201  0  0  0  0  0  0  0  
4.84009  0  0  0  0  0  0  0  
4.8601  0  0  0  0  0  0  0  
4.8801  0  0  0  0  0  0  0  
4.90009  0  0  0  0  0  0  0  
4.9201  0  0  0  0  0  0  0  
4.9401  0  0  0  0  0  0  0  
4.96009  0  0  0  0  0  0  0  
4.98012  0  0  0  0  0  0  0  
5.0001  0  0  0  0  0  0  0  
5.02012  0  0  0  0  0  0  0  
5.04012  0  0  0  0  0  0  0  
5.0601  0  0  0  0  0  0  0  
5.08012  0  0  0  0  0  0  0  
5.10011  0  0  0  0  0  0  0  
5.12012  0  0  0  0  0  0  0  
5.14011  0  0  0  0  0  0  0  
5.1601  0  0  0  0  0  0  0  
5.1801  0  0  0  0  0  0  0  
5.20011  0  0  0  0  0  0  0  
