 Time  pos_drone.x  pos_drone.y  pos_drone.z  vel_drone.x  vel_drone.y  vel_drone.z  yaw_laser 
0.000244288  0  0  0  0  0  0  0  
0.020122  0  0  0  0  0  0  0  
0.0400819  0  0  0  0  0  0  0  
0.0600855  0  0  0  0  0  0  0  
0.0800853  0  0  0  0  0  0  0  
0.100084  0  0  0  0  0  0  0  
0.120087  0  0  0  0  0  0  0  
0.140098  0  0  0  0  0  0  0  
0.160105  0  0  0  0  0  0  0  
0.180104  0  0  0  0  0  0  0  
0.200111  0  0  0  0  0  0  0  
0.220115  0  0  0  0  0  0  0  
0.240095  0  0  0  0  0  0  0  
0.260111  0  0  0  0  0  0  0  
0.28011  0  0  0  0  0  0  0  
0.300106  0  0  0  0  0  0  0  
0.320093  0  0  0  0  0  0  0  
0.340103  0  0  0  0  0  0  0  
0.360086  0  0  0  0  0  0  0  
0.380088  0  0  0  0  0  0  0  
0.400116  0  0  0  0  0  0  0  
0.42011  0  0  0  0  0  0  0  
0.440117  0  0  0  0  0  0  0  
0.460095  0  0  0  0  0  0  0  
0.48009  0  0  0  0  0  0  0  
0.500189  0  0  0  0  0  0  0  
0.520129  0  0  0  0  0  0  0  
0.540105  0  0  0  0  0  0  0  
0.5601  0  0  0  0  0  0  0  
0.580258  0  0  0  0  0  0  0  
0.600098  0  0  0  0  0  0  0  
0.620116  0  0  0  0  0  0  0  
0.640118  0  0  0  0  0  0  0  
0.66013  0  0  0  0  0  0  0  
0.680113  0  0  0  0  0  0  0  
0.700117  0  0  0  0  0  0  0  
0.72011  0  0  0  0  0  0  0  
0.740092  0  0  0  0  0  0  0  
0.760104  0  0  0  0  0  0  0  
0.780102  0  0  0  0  0  0  0  
0.800112  0  0  0  0  0  0  0  
0.8201  0  0  0  0  0  0  0  
0.840095  0  0  0  0  0  0  0  
0.860096  0  0  0  0  0  0  0  
0.880088  0  0  0  0  0  0  0  
0.900096  0  0  0  0  0  0  0  
0.920096  0  0  0  0  0  0  0  
0.940091  0  0  0  0  0  0  0  
0.960091  0  0  0  0  0  0  0  
0.980108  0  0  0  0  0  0  0  
1.0001  0  0  0  0  0  0  0  
1.0201  0  0  0  0  0  0  0  
1.04011  0  0  0  0  0  0  0  
1.06011  0  0  0  0  0  0  0  
1.08011  0  0  0  0  0  0  0  
1.10011  0  0  0  0  0  0  0  
1.12011  0  0  0  0  0  0  0  
1.14011  0  0  0  0  0  0  0  
1.16011  0  0  0  0  0  0  0  
1.1801  0  0  0  0  0  0  0  
1.20009  0  0  0  0  0  0  0  
1.2201  0  0  0  0  0  0  0  
1.2401  0  0  0  0  0  0  0  
1.26009  0  0  0  0  0  0  0  
1.2801  0  0  0  0  0  0  0  
1.30009  0  0  0  0  0  0  0  
1.32011  0  0  0  0  0  0  0  
1.34012  0  0  0  0  0  0  0  
1.36011  0  0  0  0  0  0  0  
1.38011  0  0  0  0  0  0  0  
1.4001  0  0  0  0  0  0  0  
1.42008  0  0  0  0  0  0  0  
1.44009  0  0  0  0  0  0  0  
1.46009  0  0  0  0  0  0  0  
1.48009  0  0  0  0  0  0  0  
1.50009  0  0  0  0  0  0  0  
1.5201  0  0  0  0  0  0  0  
1.5401  0  0  0  0  0  0  0  
1.56008  0  0  0  0  0  0  0  
1.58008  0  0  0  0  0  0  0  
1.60009  0  0  0  0  0  0  0  
1.62005  0  0  0  0  0  0  0  
1.6401  0  0  0  0  0  0  0  
1.66009  0  0  0  0  0  0  0  
1.68013  0  0  0  0  0  0  0  
1.70009  0  0  0  0  0  0  0  
1.72009  0  0  0  0  0  0  0  
1.7401  0  0  0  0  0  0  0  
1.7601  0  0  0  0  0  0  0  
1.78017  0  0  0  0  0  0  0  
1.8002  0  0  0  0  0  0  0  
1.82008  0  0  0  0  0  0  0  
1.84012  0  0  0  0  0  0  0  
1.86006  0  0  0  0  0  0  0  
1.88024  0  0  0  0  0  0  0  
1.9001  0  0  0  0  0  0  0  
1.92009  0  0  0  0  0  0  0  
1.9401  0  0  0  0  0  0  0  
1.9601  0  0  0  0  0  0  0  
1.98009  0  0  0  0  0  0  0  
2.00008  0  0  0  0  0  0  0  
2.02008  0  0  0  0  0  0  0  
2.04009  0  0  0  0  0  0  0  
2.06009  0  0  0  0  0  0  0  
2.08009  0  0  0  0  0  0  0  
