 Time  pos_drone.x  pos_drone.y  pos_drone.z  vel_drone.x  vel_drone.y  vel_drone.z  yaw_laser 
0.000238272  0  0  0  0  0  0  0  
0.0201101  0  0  0  0  0  0  0  
0.0400905  0  0  0  0  0  0  0  
0.0600898  0  0  0  0  0  0  0  
0.0800902  0  0  0  0  0  0  0  
0.100098  0  0  0  0  0  0  0  
0.120106  0  0  0  0  0  0  0  
0.14011  0  0  0  0  0  0  0  
0.160091  0  0  0  0  0  0  0  
0.180094  0  0  0  0  0  0  0  
0.200099  0  0  0  0  0  0  0  
0.220112  0  0  0  0  0  0  0  
0.240094  0  0  0  0  0  0  0  
0.260099  0  0  0  0  0  0  0  
0.280089  0  0  0  0  0  0  0  
0.300085  0  0  0  0  0  0  0  
0.320091  0  0  0  0  0  0  0  
0.340086  0  0  0  0  0  0  0  
0.360102  0  0  0  0  0  0  0  
0.380089  0  0  0  0  0  0  0  
0.400128  0  0  0  0  0  0  0  
0.420102  0  0  0  0  0  0  0  
0.440107  0  0  0  0  0  0  0  
0.460136  0  0  0  0  0  0  0  
0.480092  0  0  0  0  0  0  0  
0.50013  0  0  0  0  0  0  0  
0.520112  0  0  0  0  0  0  0  
0.540106  0  0  0  0  0  0  0  
0.560108  0  0  0  0  0  0  0  
0.580129  0  0  0  0  0  0  0  
0.600111  0  0  0  0  0  0  0  
0.620108  0  0  0  0  0  0  0  
0.640098  0  0  0  0  0  0  0  
0.660147  0  0  0  0  0  0  0  
0.680098  0  0  0  0  0  0  0  
0.700094  0  0  0  0  0  0  0  
0.720104  0  0  0  0  0  0  0  
0.740098  0  0  0  0  0  0  0  
0.760118  0  0  0  0  0  0  0  
0.780092  0  0  0  0  0  0  0  
0.800094  0  0  0  0  0  0  0  
0.820093  0  0  0  0  0  0  0  
0.840098  0  0  0  0  0  0  0  
0.860106  0  0  0  0  0  0  0  
0.880092  0  0  0  0  0  0  0  
0.900092  0  0  0  0  0  0  0  
0.9201  0  0  0  0  0  0  0  
0.940093  0  0  0  0  0  0  0  
0.960116  0  0  0  0  0  0  0  
0.980114  0  0  0  0  0  0  0  
1.00011  0  0  0  0  0  0  0  
1.0201  0  0  0  0  0  0  0  
1.04011  0  0  0  0  0  0  0  
1.06011  0  0  0  0  0  0  0  
1.08009  0  0  0  0  0  0  0  
1.10011  0  0  0  0  0  0  0  
1.12011  0  0  0  0  0  0  0  
1.14011  0  0  0  0  0  0  0  
1.16012  0  0  0  0  0  0  0  
1.18009  0  0  0  0  0  0  0  
1.20011  0  0  0  0  0  0  0  
1.2201  0  0  0  0  0  0  0  
