 Time  pos_drone.x  pos_drone.y  pos_drone.z  vel_drone.x  vel_drone.y  vel_drone.z  yaw_laser 
0.000245888  0  0  0  0  0  0  0  
0.0200956  0  0  0  0  0  0  0  
0.0401142  0  0  0  0  0  0  0  
0.0600867  0  0  0  0  0  0  0  
0.080091  0  0  0  0  0  0  0  
0.100112  0  0  0  0  0  0  0  
0.120101  0  0  0  0  0  0  0  
0.140083  0  0  0  0  0  0  0  
0.160105  0  0  0  0  0  0  0  
0.180089  0  0  0  0  0  0  0  
0.200088  0  0  0  0  0  0  0  
0.220099  0  0  0  0  0  0  0  
0.240093  0  0  0  0  0  0  0  
0.260094  0  0  0  0  0  0  0  
0.280087  0  0  0  0  0  0  0  
0.300095  0  0  0  0  0  0  0  
0.32009  0  0  0  0  0  0  0  
0.340088  0  0  0  0  0  0  0  
0.360096  0  0  0  0  0  0  0  
0.380095  0  0  0  0  0  0  0  
0.400093  0  0  0  0  0  0  0  
0.420094  0  0  0  0  0  0  0  
0.440094  0  0  0  0  0  0  0  
0.4601  0  0  0  0  0  0  0  
0.480099  0  0  0  0  0  0  0  
0.500116  0  0  0  0  0  0  0  
0.520093  0  0  0  0  0  0  0  
0.540108  0  0  0  0  0  0  0  
0.560103  0  0  0  0  0  0  0  
0.5801  0  0  0  0  0  0  0  
0.600102  0  0  0  0  0  0  0  
0.620106  0  0  0  0  0  0  0  
0.640101  0  0  0  0  0  0  0  
0.660098  0  0  0  0  0  0  0  
0.680086  0  0  0  0  0  0  0  
0.700192  0  0  0  0  0  0  0  
0.7201  0  0  0  0  0  0  0  
0.740102  0  0  0  0  0  0  0  
0.760105  0  0  0  0  0  0  0  
0.780096  0  0  0  0  0  0  0  
0.800099  0  0  0  0  0  0  0  
0.820105  0  0  0  0  0  0  0  
0.840092  0  0  0  0  0  0  0  
0.860107  0  0  0  0  0  0  0  
0.880096  0  0  0  0  0  0  0  
0.900102  0  0  0  0  0  0  0  
0.920093  0  0  0  0  0  0  0  
0.940119  0  0  0  0  0  0  0  
0.960119  0  0  0  0  0  0  0  
0.980101  0  0  0  0  0  0  0  
1.0001  0  0  0  0  0  0  0  
1.02009  0  0  0  0  0  0  0  
1.04009  0  0  0  0  0  0  0  
1.06009  0  0  0  0  0  0  0  
1.08009  0  0  0  0  0  0  0  
1.10009  0  0  0  0  0  0  0  
1.12009  0  0  0  0  0  0  0  
1.1401  0  0  0  0  0  0  0  
1.1601  0  0  0  0  0  0  0  
1.1801  0  0  0  0  0  0  0  
1.20011  0  0  0  0  0  0  0  
1.22009  0  0  0  0  0  0  0  
1.24009  0  0  0  0  0  0  0  
1.26009  0  0  0  0  0  0  0  
1.28009  0  0  0  0  0  0  0  
1.30012  0  0  0  0  0  0  0  
1.32011  0  0  0  0  0  0  0  
1.34011  0  0  0  0  0  0  0  
1.36018  0  0  0  0  0  0  0  
1.3801  0  0  0  0  0  0  0  
1.40011  0  0  0  0  0  0  0  
1.42011  0  0  0  0  0  0  0  
1.44013  0  0  0  0  0  0  0  
1.4601  0  0  0  0  0  0  0  
1.4801  0  0  0  0  0  0  0  
1.50012  0  0  0  0  0  0  0  
1.52012  0  0  0  0  0  0  0  
1.54011  0  0  0  0  0  0  0  
1.56012  0  0  0  0  0  0  0  
1.58009  0  0  0  0  0  0  0  
1.60009  0  0  0  0  0  0  0  
1.6201  0  0  0  0  0  0  0  
1.64009  0  0  0  0  0  0  0  
1.66009  0  0  0  0  0  0  0  
1.68008  0  0  0  0  0  0  0  
1.70012  0  0  0  0  0  0  0  
1.72016  0  0  0  0  0  0  0  
1.74012  0  0  0  0  0  0  0  
1.76009  0  0  0  0  0  0  0  
1.7801  0  0  0  0  0  0  0  
1.80011  0  0  0  0  0  0  0  
1.82009  0  0  0  0  0  0  0  
1.84009  0  0  0  0  0  0  0  
1.8601  0  0  0  0  0  0  0  
1.8801  0  0  0  0  0  0  0  
1.90009  0  0  0  0  0  0  0  
1.92009  0  0  0  0  0  0  0  
1.94009  0  0  0  0  0  0  0  
1.96011  0  0  0  0  0  0  0  
1.98013  0  0  0  0  0  0  0  
2.00014  0  0  0  0  0  0  0  
2.02011  0  0  0  0  0  0  0  
2.04009  0  0  0  0  0  0  0  
2.0601  0  0  0  0  0  0  0  
2.0801  0  0  0  0  0  0  0  
2.1001  0  0  0  0  0  0  0  
2.12014  0  0  0  0  0  0  0  
2.14008  0  0  0  0  0  0  0  
2.16009  0  0  0  0  0  0  0  
2.18008  0  0  0  0  0  0  0  
2.2001  0  0  0  0  0  0  0  
2.2201  0  0  0  0  0  0  0  
2.24009  0  0  0  0  0  0  0  
2.2601  0  0  0  0  0  0  0  
2.28011  0  0  0  0  0  0  0  
2.30015  0  0  0  0  0  0  0  
2.32011  0  0  0  0  0  0  0  
2.34012  0  0  0  0  0  0  0  
2.36007  0  0  0  0  0  0  0  
2.38009  0  0  0  0  0  0  0  
2.40011  0  0  0  0  0  0  0  
2.42011  0  0  0  0  0  0  0  
2.44013  0  0  0  0  0  0  0  
2.46011  0  0  0  0  0  0  0  
2.48012  0  0  0  0  0  0  0  
2.50011  0  0  0  0  0  0  0  
2.5201  0  0  0  0  0  0  0  
2.54009  0  0  0  0  0  0  0  
2.5601  0  0  0  0  0  0  0  
2.58013  0  0  0  0  0  0  0  
2.60011  0  0  0  0  0  0  0  
2.62014  0  0  0  0  0  0  0  
2.64011  0  0  0  0  0  0  0  
2.6601  0  0  0  0  0  0  0  
2.68008  0  0  0  0  0  0  0  
2.7001  0  0  0  0  0  0  0  
2.72009  0  0  0  0  0  0  0  
2.74014  0  0  0  0  0  0  0  
2.76012  0  0  0  0  0  0  0  
2.78009  0  0  0  0  0  0  0  
2.80011  0  0  0  0  0  0  0  
2.82012  0  0  0  0  0  0  0  
2.8401  0  0  0  0  0  0  0  
2.86009  0  0  0  0  0  0  0  
2.88011  0  0  0  0  0  0  0  
2.90011  0  0  0  0  0  0  0  
2.92011  0  0  0  0  0  0  0  
2.94009  0  0  0  0  0  0  0  
2.96011  0  0  0  0  0  0  0  
2.9801  0  0  0  0  0  0  0  
3.00011  0  0  0  0  0  0  0  
3.02012  0  0  0  0  0  0  0  
3.0401  0  0  0  0  0  0  0  
3.06011  0  0  0  0  0  0  0  
3.08012  0  0  0  0  0  0  0  
3.10012  0  0  0  0  0  0  0  
3.12011  0  0  0  0  0  0  0  
3.1401  0  0  0  0  0  0  0  
3.16011  0  0  0  0  0  0  0  
3.1801  0  0  0  0  0  0  0  
3.2001  0  0  0  0  0  0  0  
3.22009  0  0  0  0  0  0  0  
3.24009  0  0  0  0  0  0  0  
3.26009  0  0  0  0  0  0  0  
3.2802  0  0  0  0  0  0  0  
3.3001  0  0  0  0  0  0  0  
3.32011  0  0  0  0  0  0  0  
3.3401  0  0  0  0  0  0  0  
3.36011  0  0  0  0  0  0  0  
3.38011  0  0  0  0  0  0  0  
3.40011  0  0  0  0  0  0  0  
3.42009  0  0  0  0  0  0  0  
3.44009  0  0  0  0  0  0  0  
3.4601  0  0  0  0  0  0  0  
3.48011  0  0  0  0  0  0  0  
3.5001  0  0  0  0  0  0  0  
3.5201  0  0  0  0  0  0  0  
3.54009  0  0  0  0  0  0  0  
3.56009  0  0  0  0  0  0  0  
3.5801  0  0  0  0  0  0  0  
3.60009  0  0  0  0  0  0  0  
3.62011  0  0  0  0  0  0  0  
3.64009  0  0  0  0  0  0  0  
3.66012  0  0  0  0  0  0  0  
3.68012  0  0  0  0  0  0  0  
3.70011  0  0  0  0  0  0  0  
3.7201  0  0  0  0  0  0  0  
3.7401  0  0  0  0  0  0  0  
3.7601  0  0  0  0  0  0  0  
3.78012  0  0  0  0  0  0  0  
3.80012  0  0  0  0  0  0  0  
3.82022  0  0  0  0  0  0  0  
3.8401  0  0  0  0  0  0  0  
3.86016  0  0  0  0  0  0  0  
3.88007  0  0  0  0  0  0  0  
3.90013  0  0  0  0  0  0  0  
3.92007  0  0  0  0  0  0  0  
3.94007  0  0  0  0  0  0  0  
3.96007  0  0  0  0  0  0  0  
3.98007  0  0  0  0  0  0  0  
4.0001  0  0  0  0  0  0  0  
4.02007  0  0  0  0  0  0  0  
4.0401  0  0  0  0  0  0  0  
4.06007  0  0  0  0  0  0  0  
4.08008  0  0  0  0  0  0  0  
4.10007  0  0  0  0  0  0  0  
4.12007  0  0  0  0  0  0  0  
4.14007  0  0  0  0  0  0  0  
4.16007  0  0  0  0  0  0  0  
4.18018  0  0  0  0  0  0  0  
4.2001  0  0  0  0  0  0  0  
4.22009  0  0  0  0  0  0  0  
4.24009  0  0  0  0  0  0  0  
4.26008  0  0  0  0  0  0  0  
4.28008  0  0  0  0  0  0  0  
4.3001  0  0  0  0  0  0  0  
4.32009  0  0  0  0  0  0  0  
4.34009  0  0  0  0  0  0  0  
4.36009  0  0  0  0  0  0  0  
4.3801  0  0  0  0  0  0  0  
4.40009  0  0  0  0  0  0  0  
4.42009  0  0  0  0  0  0  0  
4.44009  0  0  0  0  0  0  0  
4.46009  0  0  0  0  0  0  0  
4.48009  0  0  0  0  0  0  0  
4.50009  0  0  0  0  0  0  0  
4.52011  0  0  0  0  0  0  0  
4.54009  0  0  0  0  0  0  0  
4.56009  0  0  0  0  0  0  0  
4.5801  0  0  0  0  0  0  0  
4.6001  0  0  0  0  0  0  0  
4.62011  0  0  0  0  0  0  0  
4.64009  0  0  0  0  0  0  0  
4.66009  0  0  0  0  0  0  0  
4.6801  0  0  0  0  0  0  0  
4.7001  0  0  0  0  0  0  0  
4.7201  0  0  0  0  0  0  0  
4.74011  0  0  0  0  0  0  0  
4.7601  0  0  0  0  0  0  0  
4.7801  0  0  0  0  0  0  0  
4.80009  0  0  0  0  0  0  0  
4.82009  0  0  0  0  0  0  0  
4.8401  0  0  0  0  0  0  0  
4.8601  0  0  0  0  0  0  0  
4.8801  0  0  0  0  0  0  0  
4.90009  0  0  0  0  0  0  0  
4.92009  0  0  0  0  0  0  0  
4.9401  0  0  0  0  0  0  0  
4.9601  0  0  0  0  0  0  0  
4.98009  0  0  0  0  0  0  0  
5.00009  0  0  0  0  0  0  0  
5.02009  0  0  0  0  0  0  0  
5.0401  0  0  0  0  0  0  0  
5.06014  0  0  0  0  0  0  0  
